Data;Loja;Faturamento;Pedidos;Ticket Médio
01/01/2022;Caxias do Sul;R$ 113.573,38;1862;R$ 61,00
01/01/2022;Novo Hamburgo;R$ 109.347,46;1657;R$ 66,00
01/01/2022;São Leopoldo;R$ 86.398,50;1309;R$ 66,00
01/01/2022;Barra Shopping;R$ 81.688,37;1184;R$ 69,00
01/01/2022;Campo Bom;R$ 78.692,98;1967;R$ 40,01
01/01/2022;Sapiranga;R$ 68.319,94;1178;R$ 58,00
01/01/2022;Montenegro;R$ 66.613,24;1665;R$ 40,01
01/01/2022;Estância Velha;R$ 56.168,43;1404;R$ 40,01
01/01/2022;Taquara;R$ 44.794,83;649;R$ 69,00
01/01/2022;Sapucaia do Sul (Vinicius);R$ 41.060,43;1027;R$ 39,98
01/01/2022;Nova Hartz;R$ 27.738,19;693;R$ 40,03
01/01/2022;Parobé;R$ 24.847,49;621;R$ 40,01
01/02/2022;Caxias do Sul;R$ 122.454,15;2226;R$ 55,00
01/02/2022;Novo Hamburgo;R$ 102.136,10;2553;R$ 40,01
01/02/2022;São Leopoldo;R$ 86.518,36;2277;R$ 38,00
01/02/2022;Campo Bom;R$ 67.834,05;1170;R$ 58,00
01/02/2022;Montenegro;R$ 61.861,50;1547;R$ 39,99
01/02/2022;Barra Shopping;R$ 57.842,73;771;R$ 75,00
01/02/2022;Estância Velha;R$ 54.014,92;1350;R$ 40,01
01/02/2022;Sapiranga;R$ 50.509,72;1263;R$ 39,99
01/02/2022;Sapucaia do Sul (Vinicius);R$ 43.636,69;909;R$ 48,00
01/02/2022;Taquara;R$ 38.904,13;973;R$ 39,98
01/02/2022;Nova Hartz;R$ 26.261,47;657;R$ 39,97
01/02/2022;Parobé;R$ 11.423,74;286;R$ 39,94
01/03/2022;Caxias do Sul;R$ 127.887,89;2244;R$ 57,00
01/03/2022;Novo Hamburgo;R$ 97.693,73;2442;R$ 40,01
01/03/2022;São Leopoldo;R$ 88.948,60;2224;R$ 39,99
01/03/2022;Barra Shopping;R$ 74.019,52;1850;R$ 40,01
01/03/2022;Campo Bom;R$ 70.078,83;1188;R$ 59,00
01/03/2022;Montenegro;R$ 64.166,06;1426;R$ 45,00
01/03/2022;Sapucaia do Sul (Vinicius);R$ 53.045,75;707;R$ 75,00
01/03/2022;Estância Velha;R$ 49.705,28;1243;R$ 39,99
01/03/2022;Taquara;R$ 44.695,67;1117;R$ 40,01
01/03/2022;Sapiranga;R$ 43.262,25;1082;R$ 39,98
01/03/2022;Nova Hartz;R$ 23.973,83;599;R$ 40,02
01/03/2022;Parobé;R$ 20.954,39;524;R$ 39,99
01/04/2022;Caxias do Sul;R$ 127.511,71;3643;R$ 35,00
01/04/2022;Novo Hamburgo;R$ 87.438,82;2242;R$ 39,00
01/04/2022;São Leopoldo;R$ 86.395,35;1183;R$ 73,00
01/04/2022;Campo Bom;R$ 72.548,83;1814;R$ 39,99
01/04/2022;Sapiranga;R$ 70.844,90;1771;R$ 40,00
01/04/2022;Barra Shopping;R$ 70.409,25;1760;R$ 40,01
01/04/2022;Montenegro;R$ 61.582,73;1540;R$ 39,99
01/04/2022;Sapucaia do Sul (Vinicius);R$ 51.947,18;1299;R$ 39,99
01/04/2022;Estância Velha;R$ 49.985,10;1250;R$ 39,99
01/04/2022;Taquara;R$ 39.036,29;1055;R$ 37,00
01/04/2022;Parobé;R$ 27.114,70;678;R$ 39,99
01/04/2022;Gravataí (Vinicius);R$ 1.692,97;42;R$ 40,31
01/04/2022;Passo d' Areia;R$ 180,60;5;R$ 36,12
01/05/2022;Caxias do Sul;R$ 135.340,16;3384;R$ 39,99
01/05/2022;Novo Hamburgo;R$ 111.853,53;1775;R$ 63,00
01/05/2022;Barra Shopping;R$ 86.642,40;2222;R$ 39,00
01/05/2022;São Leopoldo;R$ 84.227,59;2106;R$ 39,99
01/05/2022;Montenegro;R$ 69.828,35;1746;R$ 39,99
01/05/2022;Sapucaia do Sul (Vinicius);R$ 68.833,79;1128;R$ 61,00
01/05/2022;Campo Bom;R$ 68.185,28;1705;R$ 39,99
01/05/2022;Sapiranga;R$ 67.072,06;1137;R$ 59,00
01/05/2022;Estância Velha;R$ 50.851,68;1271;R$ 40,01
01/05/2022;Passo d' Areia;R$ 42.091,48;1052;R$ 40,01
01/05/2022;Parobé;R$ 28.810,59;720;R$ 40,01
