mes,ano,loja,faturamento,pedidos,ticket,periodo
1,2022,Caxias do Sul,113573.38,2839,40.0,2022-01
1,2022,Novo Hamburgo,109347.46,2734,40.0,2022-01
1,2022,São Leopoldo,86398.5,2160,40.0,2022-01
1,2022,Barra Shopping,81688.37,2042,40.0,2022-01
1,2022,Campo Bom,78692.98,1967,40.0,2022-01
1,2022,Sapiranga,68319.94,1708,40.0,2022-01
1,2022,Montenegro,66613.24,1665,40.0,2022-01
1,2022,Estância Velha,56168.43,1404,40.0,2022-01
1,2022,Taquara,44794.83,1120,40.0,2022-01
1,2022,Sapucaia do Sul (Vinicius),41060.43,1027,40.0,2022-01
1,2022,Nova Hartz,27738.19,693,40.0,2022-01
1,2022,Parobé,24847.49,621,40.0,2022-01
2,2022,Caxias do Sul,122454.15,3061,40.0,2022-02
2,2022,Novo Hamburgo,102136.1,2553,40.0,2022-02
2,2022,São Leopoldo,86518.36,2163,40.0,2022-02
2,2022,Campo Bom,67834.05,1696,40.0,2022-02
2,2022,Montenegro,61861.5,1547,40.0,2022-02
2,2022,Barra Shopping,57842.73,1446,40.0,2022-02
2,2022,Estância Velha,54014.92,1350,40.0,2022-02
2,2022,Sapiranga,50509.72,1263,40.0,2022-02
2,2022,Sapucaia do Sul (Vinicius),43636.69,1091,40.0,2022-02
2,2022,Taquara,38904.13,973,40.0,2022-02
2,2022,Nova Hartz,26261.47,657,40.0,2022-02
2,2022,Parobé,11423.74,286,40.0,2022-02
3,2022,Caxias do Sul,127887.89,3197,40.0,2022-03
3,2022,Novo Hamburgo,97693.73,2442,40.0,2022-03
3,2022,São Leopoldo,88948.6,2224,40.0,2022-03
3,2022,Barra Shopping,74019.52,1850,40.0,2022-03
3,2022,Campo Bom,70078.83,1752,40.0,2022-03
3,2022,Montenegro,64166.06,1604,40.0,2022-03
3,2022,Sapucaia do Sul (Vinicius),53045.75,1326,40.0,2022-03
3,2022,Estância Velha,49705.28,1243,40.0,2022-03
3,2022,Taquara,44695.67,1117,40.0,2022-03
3,2022,Sapiranga,43262.25,1082,40.0,2022-03
3,2022,Nova Hartz,23973.83,599,40.0,2022-03
3,2022,Parobé,20954.39,524,40.0,2022-03
4,2022,Caxias do Sul,127511.71,3188,40.0,2022-04
4,2022,Novo Hamburgo,87438.82,2186,40.0,2022-04
4,2022,São Leopoldo,86395.35,2160,40.0,2022-04
4,2022,Campo Bom,72548.83,1814,40.0,2022-04
4,2022,Sapiranga,70844.9,1771,40.0,2022-04
4,2022,Barra Shopping,70409.25,1760,40.0,2022-04
4,2022,Montenegro,61582.73,1540,40.0,2022-04
4,2022,Sapucaia do Sul (Vinicius),51947.18,1299,40.0,2022-04
4,2022,Estância Velha,49985.1,1250,40.0,2022-04
4,2022,Taquara,39036.29,976,40.0,2022-04
4,2022,Parobé,27114.7,678,40.0,2022-04
4,2022,Gravataí (Vinicius),1692.97,42,40.0,2022-04
4,2022,Passo d' Areia,180.6,5,40.0,2022-04
5,2022,Caxias do Sul,135340.16,3384,40.0,2022-05
5,2022,Novo Hamburgo,111853.53,2796,40.0,2022-05
5,2022,Barra Shopping,86642.4,2166,40.0,2022-05
5,2022,São Leopoldo,84227.59,2106,40.0,2022-05
5,2022,Montenegro,69828.35,1746,40.0,2022-05
5,2022,Sapucaia do Sul (Vinicius),68833.79,1721,40.0,2022-05
5,2022,Campo Bom,68185.28,1705,40.0,2022-05
5,2022,Sapiranga,67072.06,1677,40.0,2022-05
5,2022,Estância Velha,50851.68,1271,40.0,2022-05
5,2022,Passo d' Areia,42091.48,1052,40.0,2022-05
5,2022,Parobé,28810.59,720,40.0,2022-05
5,2022,Gravataí (Vinicius),27093.4,677,40.0,2022-05
6,2022,Caxias do Sul,130231.57,3256,40.0,2022-06
6,2022,Novo Hamburgo,106592.51,2665,40.0,2022-06
6,2022,São Leopoldo,89730.24,2243,40.0,2022-06
6,2022,Barra Shopping,84036.62,2101,40.0,2022-06
6,2022,Sapucaia do Sul (Vinicius),66492.38,1662,40.0,2022-06
6,2022,Montenegro,66385.92,1660,40.0,2022-06
6,2022,Campo Bom,63918.09,1598,40.0,2022-06
6,2022,Sapiranga,60678.24,1517,40.0,2022-06
6,2022,Parobé,48445.97,1211,40.0,2022-06
6,2022,Estância Velha,46494.03,1162,40.0,2022-06
6,2022,Bento Gonçalves,45032.19,1126,39.99,2022-06
6,2022,Passo d' Areia,42644.73,1066,40.0,2022-06
6,2022,Gravataí (Vinicius),41151.55,1029,40.0,2022-06
7,2022,Caxias do Sul,126122.31,3153,40.0,2022-07
7,2022,Barra Shopping,94378.55,2359,40.0,2022-07
7,2022,Novo Hamburgo,93868.42,2347,40.0,2022-07
7,2022,São Leopoldo,93484.16,2337,40.0,2022-07
7,2022,Montenegro,62273.25,1557,40.0,2022-07
7,2022,Campo Bom,60282.49,1507,40.0,2022-07
7,2022,Sapiranga,59075.81,1477,40.0,2022-07
7,2022,Bento Gonçalves,55899.24,1397,40.0,2022-07
7,2022,Sapucaia do Sul (Vinicius),50160.99,1254,40.0,2022-07
7,2022,Parobé,48783.03,1220,40.0,2022-07
7,2022,Passo d' Areia,46669.99,1167,40.0,2022-07
7,2022,Estância Velha,46650.15,1166,40.0,2022-07
7,2022,Gravataí (Vinicius),30008.27,750,40.0,2022-07
8,2022,Caxias do Sul,116023.31,2901,40.0,2022-08
8,2022,Montenegro,94135.13,2353,40.0,2022-08
8,2022,Novo Hamburgo,94135.13,2353,40.0,2022-08
8,2022,São Leopoldo,86221.9,2156,40.0,2022-08
8,2022,Barra Shopping,83047.57,2076,40.0,2022-08
8,2022,Sapiranga,52366.66,1309,40.0,2022-08
8,2022,Campo Bom,52123.38,1303,40.0,2022-08
8,2022,Sapucaia do Sul (Vinicius),41486.34,1037,40.0,2022-08
8,2022,Parobé,41095.43,1027,40.0,2022-08
8,2022,Bento Gonçalves,40071.78,1002,40.0,2022-08
8,2022,Estância Velha,38714.55,968,40.0,2022-08
8,2022,Passo d' Areia,37741.12,944,40.0,2022-08
8,2022,Gravataí (Vinicius),28416.1,710,40.0,2022-08
9,2022,Caxias do Sul,123235.02,3081,40.0,2022-09
9,2022,Novo Hamburgo,92538.74,2313,40.0,2022-09
9,2022,São Leopoldo,85438.97,2136,40.0,2022-09
9,2022,Barra Shopping,83890.1,2097,40.0,2022-09
9,2022,Montenegro,64800.87,1620,40.0,2022-09
9,2022,Shopping Total,58868.46,1472,40.0,2022-09
9,2022,Sapiranga,54144.32,1354,40.0,2022-09
9,2022,Estância Velha,46719.89,1168,40.0,2022-09
9,2022,Sapucaia do Sul (Vinicius),46310.48,1158,40.0,2022-09
9,2022,Campo Bom,45891.05,1147,40.0,2022-09
9,2022,Gravataí (Vinicius),32847.16,821,40.0,2022-09
9,2022,Bento Gonçalves,31500.99,788,40.0,2022-09
9,2022,Parobé,11096.31,277,40.0,2022-09
10,2022,Caxias do Sul,129679.96,3242,40.0,2022-10
10,2022,Novo Hamburgo,102027.07,2551,40.0,2022-10
10,2022,São Leopoldo,82395.81,2060,40.0,2022-10
10,2022,Barra Shopping,78738.54,1968,40.0,2022-10
10,2022,Shopping Total,65063.39,1627,40.0,2022-10
10,2022,Montenegro,64401.12,1610,40.0,2022-10
10,2022,Sapiranga,60550.62,1514,40.0,2022-10
10,2022,Campo Bom,52520.45,1313,40.0,2022-10
10,2022,Sapucaia do Sul (Vinicius),47915.71,1198,40.0,2022-10
10,2022,Estância Velha,47000.79,1175,40.0,2022-10
10,2022,Bento Gonçalves,45406.58,1135,40.0,2022-10
10,2022,Gravataí (Vinicius),35190.0,880,40.0,2022-10
11,2022,Caxias do Sul,133514.87,3338,40.0,2022-11
11,2022,Novo Hamburgo,104316.03,2608,40.0,2022-11
11,2022,Barra Shopping,84529.68,2113,40.0,2022-11
11,2022,São Leopoldo,80987.86,2025,40.0,2022-11
11,2022,Shopping Total,67357.39,1684,40.0,2022-11
11,2022,Sapiranga,62609.36,1565,40.0,2022-11
11,2022,Montenegro,56334.0,1408,40.0,2022-11
11,2022,Bento Gonçalves,50879.49,1272,40.0,2022-11
11,2022,Campo Bom,47723.57,1193,40.0,2022-11
11,2022,Sapucaia do Sul (Vinicius),47287.04,1182,40.0,2022-11
11,2022,Estância Velha,42640.67,1066,40.0,2022-11
11,2022,Gravataí (Vinicius),36978.01,924,40.0,2022-11
12,2022,Caxias do Sul,145346.63,3634,40.0,2022-12
12,2022,Barra Shopping,114359.18,2859,40.0,2022-12
12,2022,Novo Hamburgo,113302.42,2833,40.0,2022-12
12,2022,São Leopoldo,83431.88,2086,40.0,2022-12
12,2022,Sapiranga,68956.81,1724,40.0,2022-12
12,2022,Bento Gonçalves,68852.98,1721,40.0,2022-12
12,2022,Shopping Total,68654.19,1716,40.0,2022-12
12,2022,Montenegro,66423.65,1661,40.0,2022-12
12,2022,Campo Bom,60028.88,1501,40.0,2022-12
12,2022,Estância Velha,47261.17,1182,40.0,2022-12
12,2022,Sapucaia do Sul (Vinicius),23224.55,581,40.0,2022-12
12,2022,Gravataí (Vinicius),19684.1,492,40.0,2022-12
